"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,12.252,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,12.268,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,12.18,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,12.576,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2014","2014","USD","US Dollar","0","Units",,,541.372,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2015","2015","USD","US Dollar","0","Units",,,570.178,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2016","2016","USD","US Dollar","0","Units",,,586.06,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2017","2017","USD","US Dollar","0","Units",,,610.721,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2018","2018","USD","US Dollar","0","Units",,,641.757,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2014","2014","PC","Percentage","0","Units",,,11.416,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2015","2015","PC","Percentage","0","Units",,,11.443,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2016","2016","PC","Percentage","0","Units",,,11.321,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,11.256,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,11.33,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2014","2014","USD","US Dollar","0","Units",,,2016.561,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2015","2015","USD","US Dollar","0","Units",,,2081.377,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2016","2016","USD","US Dollar","0","Units",,,2220.792,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2017","2017","USD","US Dollar","0","Units",,,2238.575,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2018","2018","USD","US Dollar","0","Units",,,2265.899,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2014","2014","USD","US Dollar","0","Units",,,210.985,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2015","2015","USD","US Dollar","0","Units",,,213.5,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2016","2016","USD","US Dollar","0","Units",,,213.69,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2017","2017","USD","US Dollar","0","Units",,,215.339,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2018","2018","USD","US Dollar","0","Units",,,218.896,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2014","2014","PC","Percentage","0","Units",,,35.293,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2015","2015","PC","Percentage","0","Units",,,35.764,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2016","2016","PC","Percentage","0","Units",,,35.339,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","GRC","Greece","2017","2017","PC","Percentage","0","Units",,,37.381,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2014","2014","USD","US Dollar","0","Units",,,517.85,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2015","2015","USD","US Dollar","0","Units",,,534.921,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2016","2016","USD","US Dollar","0","Units",,,549.016,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2017","2017","USD","US Dollar","0","Units",,,574.888,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2018","2018","USD","US Dollar","0","Units",,,599.842,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2014","2014","USD","US Dollar","0","Units",,,711.707,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2015","2015","USD","US Dollar","0","Units",,,744.373,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2016","2016","USD","US Dollar","0","Units",,,784.812,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","GRC","Greece","2017","2017","USD","US Dollar","0","Units",,,836.791,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2014","2014","PC","Percentage","0","Units",,,4.651,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2015","2015","PC","Percentage","0","Units",,,4.567,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2016","2016","PC","Percentage","0","Units",,,4.406,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,4.216,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,4.134,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2014","2014","PC","Percentage","0","Units",,,31.176,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2015","2015","PC","Percentage","0","Units",,,27.155,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2016","2016","PC","Percentage","0","Units",,,29.22,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2017","2017","PC","Percentage","0","Units",,,26.239,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2018","2018","PC","Percentage","0","Units",,,22.259,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","SWE","Sweden","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","SWE","Sweden","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","SWE","Sweden","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","SWE","Sweden","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","SWE","Sweden","2014","2014","USD","US Dollar","0","Units",,,4865.571,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","SWE","Sweden","2015","2015","USD","US Dollar","0","Units",,,5002.138,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","SWE","Sweden","2016","2016","USD","US Dollar","0","Units",,,5121.772,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","SWE","Sweden","2017","2017","USD","US Dollar","0","Units",,,5318.124,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","SWE","Sweden","2018","2018","USD","US Dollar","0","Units",,,5433.728,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2014","2014","USD","US Dollar","0","Units",,,1781.682,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2015","2015","USD","US Dollar","0","Units",,,1917.581,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2016","2016","USD","US Dollar","0","Units",,,2097.717,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2017","2017","USD","US Dollar","0","Units",,,2235.942,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2018","2018","USD","US Dollar","0","Units",,,2385.085,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","TUR","Turkey","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","TUR","Turkey","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","TUR","Turkey","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2014","2014","USD","US Dollar","0","Units",,,555.453,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2015","2015","USD","US Dollar","0","Units",,,520.721,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2016","2016","USD","US Dollar","0","Units",,,612.956,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2017","2017","USD","US Dollar","0","Units",,,586.678,,
"HFTOT","All financing schemes","HCRI1","Total pharmaceutical expenditure (including inpatient and other ways of provision)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","LTU","Lithuania","2018","2018","USD","US Dollar","0","Units",,,530.889,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","LTU","Lithuania","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","NOR","Norway","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","NOR","Norway","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","NOR","Norway","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,100,"P","Provisional value"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","TUR","Turkey","2014","2014","USD","US Dollar","0","Units",,,1006.772,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","TUR","Turkey","2015","2015","USD","US Dollar","0","Units",,,1040.373,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","TUR","Turkey","2016","2016","USD","US Dollar","0","Units",,,1128.718,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","TUR","Turkey","2017","2017","USD","US Dollar","0","Units",,,1187.518,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","TUR","Turkey","2018","2018","USD","US Dollar","0","Units",,,1223.568,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","JPN","Japan","2014","2014","USD","US Dollar","0","Units",,,4328.364,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","JPN","Japan","2015","2015","USD","US Dollar","0","Units",,,4516.862,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","JPN","Japan","2016","2016","USD","US Dollar","0","Units",,,4297.128,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","JPN","Japan","2017","2017","USD","US Dollar","0","Units",,,4392.905,,
